# frequency,filingStatus,variant,minCents,maxCents,taxCents
# Auto-generated from IRS Pub. 15-T 2025 wage-bracket biweekly table.
frequency,filingStatus,variant,minCents,maxCents,taxCents
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,89500,91000,400
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,89500,91000,5000
BIWEEKLY,SINGLE,STANDARD,89500,91000,3300
BIWEEKLY,SINGLE,STEP2_CHECKBOX,89500,91000,6900
BIWEEKLY,MARRIED,STANDARD,91000,92500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,91000,92500,3400
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,91000,92500,500
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,91000,92500,5200
BIWEEKLY,SINGLE,STANDARD,91000,92500,3400
BIWEEKLY,SINGLE,STEP2_CHECKBOX,91000,92500,7100
BIWEEKLY,MARRIED,STANDARD,92500,94000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,92500,94000,3600
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,92500,94000,700
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,92500,94000,5300
BIWEEKLY,SINGLE,STANDARD,92500,94000,3600
BIWEEKLY,SINGLE,STEP2_CHECKBOX,92500,94000,7300
BIWEEKLY,MARRIED,STANDARD,94000,95500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,94000,95500,3700
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,94000,95500,800
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,94000,95500,5500
BIWEEKLY,SINGLE,STANDARD,94000,95500,3700
BIWEEKLY,SINGLE,STEP2_CHECKBOX,94000,95500,7400
BIWEEKLY,MARRIED,STANDARD,95500,97000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,95500,97000,3900
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,95500,97000,1000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,95500,97000,5700
BIWEEKLY,SINGLE,STANDARD,95500,97000,3900
BIWEEKLY,SINGLE,STEP2_CHECKBOX,95500,97000,7600
BIWEEKLY,MARRIED,STANDARD,97000,98500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,97000,98500,4000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,97000,98500,1100
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,97000,98500,5900
BIWEEKLY,SINGLE,STANDARD,97000,98500,4000
BIWEEKLY,SINGLE,STEP2_CHECKBOX,97000,98500,7800
BIWEEKLY,MARRIED,STANDARD,98500,100000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,98500,100000,4200
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,98500,100000,1300
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,98500,100000,6100
BIWEEKLY,SINGLE,STANDARD,98500,100000,4200
BIWEEKLY,SINGLE,STEP2_CHECKBOX,98500,100000,8000
BIWEEKLY,MARRIED,STANDARD,100000,101500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,100000,101500,4300
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,100000,101500,1400
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,100000,101500,6200
BIWEEKLY,SINGLE,STANDARD,100000,101500,4300
BIWEEKLY,SINGLE,STEP2_CHECKBOX,100000,101500,8200
BIWEEKLY,MARRIED,STANDARD,101500,103000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,101500,103000,4500
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,101500,103000,1600
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,101500,103000,6400
BIWEEKLY,SINGLE,STANDARD,101500,103000,4500
BIWEEKLY,SINGLE,STEP2_CHECKBOX,101500,103000,8300
BIWEEKLY,MARRIED,STANDARD,103000,104500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,103000,104500,4600
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,103000,104500,1700
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,103000,104500,6600
BIWEEKLY,SINGLE,STANDARD,103000,104500,4600
